Neighborhood,Area_sq_km
Sunset/Parkside,12.2
Mission,5.8
South of Market,6.5
Bayview Hunters Point,16.7
Richmond,10.2
Tenderloin,0.5
Financial District,1.2
Western Addition,1.5
Castro/Upper Market,2.0
Bernal Heights,3.0
Inner Sunset,2.8
Outer Richmond,5.5
Haight Ashbury,1.2
Potrero Hill,2.6
Noe Valley,2.0
Pacific Heights,1.9
Hayes Valley,0.7
Chinatown,0.5
Marina,2.5
Twin Peaks,3.6
Glen Park,1.2
Lone Mountain/USF,0.9
Excelsior,7.1
West of Twin Peaks,8.0
Portola,2.7
Japantown,0.4
Visitacion Valley,3.5
McLaren Park,1.6
Mission Bay,2.3
Seacliff,0.6
Presidio Heights,1.3
Bayview,4.2
Lincoln Park,1.5
Treasure Island,2.4
