cluster_id,size,center_lat,center_lon,neighborhood,supervisor_district,police_district,has_intersection_pct,avg_distance_to_center,most_common_hour,most_common_day,weekend_pct,rush_hour_pct,most_common_season,night_pct,fatal_count,injury_count,fatal_pct,avg_casualties,max_casualties,most_common_collision_type,pedestrian_involved_pct,bicycle_involved_pct,multi_party_pct,most_common_weather,bad_weather_pct,poor_lighting_pct,poor_road_pct,avg_environmental_risk,most_common_party1_action,most_common_party2_action,most_common_at_fault
0,7831,37.77769127100343,-122.41379249754699,South of Market,6.0,SOUTHERN,100.0,0.010644239314480022,17,Friday,25.43736432128719,26.11416166517686,Summer,22.117226407866173,74,7733,0.9449623292044438,1.2091686885455242,18.0,Other,0.0,0.0,100.0,Good,5.861320393308645,3.9330864512833608,1.8388456135870261,0.8541693270335845,Proceeding Straight,Proceeding Straight,1.0
1,423,37.76529078643787,-122.43178961310424,Castro/Upper Market,8.0,MISSION,100.0,0.015680723520437048,17,Saturday,33.80614657210402,26.004728132387704,Spring,28.841607565011824,3,420,0.7092198581560284,1.1938534278959811,6.0,Other,0.0,0.0,100.0,Good,6.619385342789598,2.6004728132387704,1.4184397163120568,0.9125295508274232,Proceeding Straight,Proceeding Straight,1.0
2,148,37.77128297558484,-122.47946415147575,Golden Gate Park,1.0,RICHMOND,100.0,0.06017472563850037,9,Saturday,29.72972972972973,20.27027027027027,Summer,19.594594594594593,1,147,0.6756756756756757,1.337837837837838,5.0,Other,0.0,0.0,100.0,Good,16.89189189189189,6.081081081081082,0.6756756756756757,1.3783783783783783,Proceeding Straight,Proceeding Straight,1.0
3,119,37.783082283150364,-122.43942103380888,Japantown,5.0,PARK,100.0,0.021631174183654126,15,Friday,23.52941176470588,25.210084033613445,Summer,17.647058823529413,0,117,0.0,1.1680672268907564,4.0,Other,0.0,0.0,100.0,Good,7.563025210084033,1.680672268907563,0.0,0.8739495798319328,Proceeding Straight,Proceeding Straight,1.0
4,104,37.773188413148034,-122.43746643980225,Hayes Valley,5.0,PARK,100.0,0.01814839599075718,18,Friday,34.61538461538461,25.961538461538463,Summer,27.884615384615387,1,103,0.9615384615384616,1.2019230769230769,4.0,Other,0.0,0.0,100.0,Good,7.6923076923076925,3.8461538461538463,0.0,0.875,Proceeding Straight,Proceeding Straight,1.0
5,122,37.72121543072163,-122.4479057589025,Outer Mission,11.0,INGLESIDE,100.0,0.06078460758501673,13,Saturday,31.967213114754102,19.672131147540984,Summer,28.688524590163933,1,119,0.819672131147541,1.4672131147540983,5.0,Other,0.0,0.0,100.0,Good,10.655737704918032,2.459016393442623,1.639344262295082,1.0737704918032787,Proceeding Straight,Proceeding Straight,1.0
6,110,37.710771228306015,-122.45616361573532,Oceanview/Merced/Ingleside,11.0,TARAVAL,100.0,0.07392100193894113,13,Sunday,29.09090909090909,25.454545454545453,Spring,17.272727272727273,1,109,0.9090909090909091,1.5818181818181818,4.0,Other,0.0,0.0,100.0,Good,6.363636363636363,4.545454545454546,0.9090909090909091,0.7363636363636363,Proceeding Straight,Proceeding Straight,1.0
7,133,37.73415150749286,-122.390914628037,Bayview Hunters Point,10.0,BAYVIEW,100.0,0.049720233923976946,16,Monday,31.57894736842105,28.57142857142857,Fall,13.533834586466165,1,132,0.7518796992481203,1.4887218045112782,6.0,Other,0.0,0.0,100.0,Good,3.007518796992481,5.263157894736842,0.7518796992481203,0.5939849624060151,Proceeding Straight,Proceeding Straight,1.0
8,295,37.765715930310016,-122.40880380792557,Mission,9.0,MISSION,100.0,0.01408614746658841,15,Tuesday,19.322033898305087,32.54237288135593,Summer,11.525423728813559,6,290,2.0338983050847457,1.240677966101695,5.0,Other,0.0,0.0,100.0,Good,6.779661016949152,3.389830508474576,0.6779661016949152,0.7152542372881356,Proceeding Straight,Proceeding Straight,1.0
9,122,37.73464164444995,-122.47508191470807,Sunset/Parkside,7.0,TARAVAL,100.0,0.06871138514903645,18,Thursday,34.42622950819672,22.131147540983605,Fall,21.311475409836063,1,122,0.819672131147541,1.3852459016393444,5.0,Other,0.0,0.0,100.0,Good,7.377049180327869,4.918032786885246,0.0,0.9672131147540983,Proceeding Straight,Proceeding Straight,1.0
10,111,37.78483743676294,-122.43126484128442,Japantown,5.0,NORTHERN,100.0,0.015478893299800681,14,Sunday,30.630630630630627,18.91891891891892,Fall,16.216216216216218,2,108,1.8018018018018018,1.3873873873873874,5.0,Other,0.0,0.0,100.0,Good,7.207207207207207,3.6036036036036037,0.9009009009009009,0.918918918918919,Proceeding Straight,Proceeding Straight,1.0
11,184,37.76575453741862,-122.47759808056644,Golden Gate Park,4.0,RICHMOND,100.0,0.058913363543699485,17,Saturday,29.347826086956523,23.91304347826087,Summer,19.021739130434785,3,182,1.6304347826086956,1.3858695652173914,6.0,Other,0.0,0.0,100.0,Good,4.891304347826087,4.3478260869565215,1.0869565217391304,0.7445652173913043,Proceeding Straight,Proceeding Straight,1.0
12,103,37.748434787322445,-122.41817114305758,Bernal Heights,9.0,MISSION,100.0,0.026494034676579563,0,Saturday,34.95145631067961,19.41747572815534,Winter,30.097087378640776,0,103,0.0,1.2427184466019416,4.0,Other,0.0,0.0,100.0,Good,2.912621359223301,2.912621359223301,1.9417475728155338,0.7475728155339806,Proceeding Straight,Proceeding Straight,1.0
13,61,37.72327237720527,-122.4360942459156,Excelsior,11.0,INGLESIDE,100.0,0.054260444701313255,10,Monday,21.311475409836063,34.42622950819672,Fall,9.836065573770492,2,58,3.278688524590164,1.2622950819672132,4.0,Other,0.0,0.0,100.0,Good,13.114754098360656,1.639344262295082,0.0,1.0327868852459017,Proceeding Straight,Proceeding Straight,1.0
14,57,37.74304562882233,-122.47564974909997,Sunset/Parkside,7.0,TARAVAL,100.0,0.06464320642595486,12,Friday,29.82456140350877,10.526315789473683,Spring,29.82456140350877,0,57,0.0,1.2456140350877194,4.0,Other,0.0,0.0,100.0,Good,12.280701754385964,1.7543859649122806,3.508771929824561,1.1228070175438596,Proceeding Straight,Proceeding Straight,1.0
15,191,37.77262591221359,-122.44582601397404,Golden Gate Park,5.0,PARK,100.0,0.026527392867642805,16,Friday,28.272251308900525,22.5130890052356,Summer,24.60732984293194,0,190,0.0,1.2146596858638743,5.0,Other,0.0,0.0,100.0,Good,6.806282722513089,2.6178010471204187,1.0471204188481675,0.8638743455497382,Proceeding Straight,Proceeding Straight,1.0
16,9,37.7824699495079,-122.39285768182013,Financial District/South Beach,6.0,SOUTHERN,100.0,0.027600713543100477,9,Friday,11.11111111111111,77.77777777777779,Spring,0.0,0,9,0.0,1.0,1.0,Other,0.0,0.0,100.0,Good,0.0,0.0,11.11111111111111,0.6666666666666666,Proceeding Straight,Proceeding Straight,1.0
17,61,37.74832102023585,-122.4103327222558,Bernal Heights,9.0,MISSION,100.0,0.02808589891828738,17,Tuesday,21.311475409836063,32.78688524590164,Fall,16.39344262295082,0,61,0.0,1.459016393442623,4.0,Other,0.0,0.0,100.0,Good,6.557377049180328,4.918032786885246,4.918032786885246,0.8688524590163934,Proceeding Straight,Proceeding Straight,1.0
18,137,37.71715460009156,-122.47257876852217,Lakeshore,11.0,TARAVAL,100.0,0.07850224869457359,21,Tuesday,31.386861313868614,18.248175182481752,Fall,29.1970802919708,1,136,0.7299270072992701,1.3868613138686132,4.0,Other,0.0,0.0,100.0,Good,10.218978102189782,2.9197080291970803,2.18978102189781,1.167883211678832,Proceeding Straight,Proceeding Straight,1.0
19,75,37.741355132771076,-122.4231794609914,Bernal Heights,9.0,INGLESIDE,100.0,0.033758977473700706,14,Saturday,37.333333333333336,22.666666666666664,Winter,14.666666666666666,0,75,0.0,1.3733333333333333,10.0,Other,0.0,0.0,100.0,Good,6.666666666666667,4.0,2.666666666666667,0.7866666666666666,Proceeding Straight,Proceeding Straight,1.0
20,115,37.75228777770041,-122.4178245071871,Mission,9.0,MISSION,100.0,0.02269167412053076,17,Sunday,33.04347826086956,25.217391304347824,Winter,24.347826086956523,0,114,0.0,1.1652173913043478,5.0,Other,0.0,0.0,100.0,Good,6.956521739130435,3.4782608695652173,0.0,0.782608695652174,Proceeding Straight,Proceeding Straight,1.0
21,137,37.77302759545783,-122.47179931463486,Golden Gate Park,1.0,RICHMOND,100.0,0.05243332279575095,7,Sunday,34.306569343065696,19.708029197080293,Winter,21.897810218978105,1,136,0.7299270072992701,1.3795620437956204,6.0,Other,0.0,0.0,100.0,Good,14.5985401459854,1.4598540145985401,2.9197080291970803,1.3357664233576643,Proceeding Straight,Proceeding Straight,1.0
22,121,37.79569661045264,-122.42335000110258,Russian Hill,3.0,NORTHERN,100.0,0.02116965306896406,20,Thursday,27.27272727272727,16.528925619834713,Fall,31.40495867768595,2,119,1.6528925619834711,1.5454545454545454,6.0,Other,0.0,0.0,100.0,Good,8.264462809917356,4.132231404958678,5.785123966942149,1.115702479338843,Proceeding Straight,Proceeding Straight,1.0
23,103,37.76939053513234,-122.41337167006932,Mission,9.0,MISSION,100.0,0.008174020263131146,17,Monday,24.271844660194176,32.038834951456316,Summer,16.50485436893204,1,102,0.9708737864077669,1.2718446601941749,4.0,Other,0.0,0.0,100.0,Good,3.8834951456310676,7.766990291262135,1.9417475728155338,0.7475728155339806,Proceeding Straight,Proceeding Straight,1.0
24,111,37.77611485358225,-122.39394064732316,Mission Bay,6.0,SOUTHERN,100.0,0.025489818778063035,18,Friday,26.126126126126124,30.630630630630627,Fall,19.81981981981982,2,111,1.8018018018018018,1.4144144144144144,5.0,Other,0.0,0.0,100.0,Good,3.6036036036036037,7.207207207207207,1.8018018018018018,0.7927927927927928,Proceeding Straight,Proceeding Straight,1.0
25,133,37.716267427875486,-122.44099503364207,Excelsior,11.0,INGLESIDE,100.0,0.062483970912013465,12,Saturday,36.09022556390977,18.796992481203006,Winter,27.06766917293233,2,131,1.5037593984962405,1.2030075187969924,5.0,Other,0.0,0.0,100.0,Good,9.022556390977442,5.263157894736842,0.7518796992481203,1.0827067669172932,Proceeding Straight,Proceeding Straight,1.0
26,89,37.75300063249031,-122.40635594062458,Mission,9.0,MISSION,100.0,0.025489991925994812,20,Thursday,20.224719101123593,28.08988764044944,Fall,21.34831460674157,1,89,1.1235955056179776,1.3146067415730338,4.0,Other,0.0,0.0,100.0,Good,8.98876404494382,7.865168539325842,2.247191011235955,1.1235955056179776,Proceeding Straight,Proceeding Straight,1.0
27,98,37.72072748594364,-122.47527704703649,Lakeshore,7.0,TARAVAL,100.0,0.07782664660015846,12,Friday,25.510204081632654,24.489795918367346,Fall,19.387755102040817,1,98,1.0204081632653061,1.2244897959183674,4.0,Other,0.0,0.0,100.0,Good,9.183673469387756,1.0204081632653061,0.0,0.8775510204081632,Proceeding Straight,Proceeding Straight,1.0
28,127,37.742651463534116,-122.38813564906594,Bayview Hunters Point,10.0,BAYVIEW,100.0,0.04491674896669191,18,Friday,27.559055118110237,29.92125984251969,Winter,13.385826771653544,1,125,0.7874015748031495,1.6377952755905512,18.0,Other,0.0,0.0,100.0,Good,3.937007874015748,4.724409448818897,3.937007874015748,0.7716535433070866,Proceeding Straight,Proceeding Straight,1.0
